id,title,verdict,reason,has_photo,is_historic,step_count,ingredient_count,abv_present,glass_present
cck_0bd95ab13d8e27d502db49,Tom Tom,KEEP,,0,1,4,0,1,1
cck_0be39c8533d8e3c8239cf1,Tamagozake,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,1,3,0,1
cck_0bf043b2b5ed9e462d38f3,Mr. Howell,KEEP,,0,0,4,5,1,1
cck_0c058a8da206e06047173a,Irish Cream,KEEP,,1,0,3,5,0,1
cck_0c172eabc374af154badff,Cosmopolitan (Modern Spec),KEEP,,0,0,3,4,1,1
cck_0c2784665c0b645d2e0baa,Ojen Cocktail,KEEP,,0,1,6,0,1,1
cck_0c4aa9aaac942bc17e9d89,Bathtub Gin (speakeasy),FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_0c58ad555960df145db0eb,Soul Kiss,KEEP,,0,1,6,0,1,1
cck_0c5b33fa1947c7faa99f0c,Catawba Cobbler,KEEP,,1,1,1,1,1,1
cck_0c7789957eeeabcb856899,Ramos Gin Fizz (Modern Spec),KEEP,,0,0,4,8,1,1
cck_0c7dd4378b2c03539ba954,Society Cocktail,KEEP,,0,1,4,0,1,1
cck_0ca4e043cabba6daf7f862,B Cola,FIX,abv_missing;no_image_modern;no_spirit_in_ings;glass_type_field_missing,0,0,4,2,0,1
cck_0cbc192a08ebbb71ddc2b7,Cosmopolitan,KEEP,,1,0,3,4,1,1
cck_0ccb08a84cb9d968457aa9,Angry Canadian,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,4,5,0,1
cck_0cf20b7173c8582b24ae6e,Turf Cocktail No. 2,KEEP,,0,1,4,0,1,1
cck_0d1b1a4a046d3582d7cf06,Steinway Punch,DELETE,all_undefined_ingredients,0,1,7,4,1,1
cck_0d71a744b3f57571ef2706,Port Wine Sangaree,KEEP,,1,1,1,2,1,1
cck_0d74573494a2ed1eb36db1,Angostura Phosphate,KEEP,,0,1,4,0,1,1
cck_0d7555ca9fd9f3c40e1666,Ritz Fizz,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,4,4,0,1
cck_0d7e03d95416816c77a497,Oreo Mudslide,KEEP,,1,0,3,5,1,1
cck_0da3ed01925b0c053a0f5a,Colamore Cordial,KEEP,,0,1,3,1,1,1
cck_0da5cf0487a8018f9bbb8b,Rum Shrub,KEEP,,0,1,3,2,1,1
cck_0db2d3c9d93cd65da2d274,Atomic Lokade,KEEP,,1,0,3,6,1,1
cck_0db30f7cd5025575b52902,Gin Punch,KEEP,,0,1,1,1,1,1
cck_0dc4dee6215df95da23e70,Boston Cooler,DELETE,all_undefined_ingredients,1,1,5,1,1,1
cck_0dd8a4ae9570b0ee4a4012,Claret Lemonade,KEEP,,1,1,2,1,0,1
cck_0df2d9de796d94709a347b,Picon Punch,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,4,5,0,1
cck_0dfe9b408161ae85a0f754,Hard Start,KEEP,,0,0,2,2,1,1
cck_0e0adb85ac0a9dcf97e587,Jersey Sour,KEEP,,0,1,1,1,1,1
cck_0e1b1557054b215f68a81d,Champagne Cup,KEEP,,1,1,2,0,0,1
cck_0e1edded3bfaa12c595016,Inari Ōkami,FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_0e2298f5ee60442bac317a,Sidewinder's Fang,KEEP,,0,0,3,5,1,1
cck_0e3eea1b8e0a78d8dee3ec,Whiskey Rickey,KEEP,,0,1,3,0,0,1
cck_0e4fae5dda4156e9a6f965,Sabath Cooler,KEEP,,0,1,4,0,1,1
cck_0e53a4c9f3d8426bbf7207,Frazie,KEEP,,0,1,3,0,1,1
cck_0e5adbb7320d75b1d5961a,White Lion,FIX,abv_missing;glass_type_field_missing,1,1,1,0,0,1
cck_0e6ad03e91dbb195e02553,Sidecar (Modern Spec),KEEP,,0,0,3,3,1,1
cck_0e6dc7887f9edf4d00994b,Mama Juana,FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_0e7090996312cceb7e9f5b,Agkud,FIX,abv_missing;no_image_modern,0,0,3,6,0,1
cck_0e78f45ca61f5b78703415,Bacardi cocktail,KEEP,,1,0,2,3,1,1
cck_0eb3c82589546ca7bd7836,Boulevardier,KEEP,,1,0,3,3,1,1
cck_0eb7c939540f36d00ae440,Plymouth Gin Cocktail,KEEP,,0,1,3,2,1,1
cck_0ebbe5777887e386651166,Cabinet Cocktail,KEEP,,0,1,4,0,1,1
cck_0ed39adf901619ce96e070,Elk's Fizz,KEEP,,0,1,6,4,1,1
cck_0ee4f8e0c402f94fec5fd2,Champagne Sour,KEEP,,0,1,1,1,1,1
cck_0ee6006985a736fc2ec835,Julebrus,FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_0ee6de4bdf26ffb4f5cc70,Lone Tree Cooler,KEEP,,1,0,4,6,0,1
cck_0ef4f374db6396ee57b66f,Lillet Wild Berry,FIX,abv_missing;no_spirit_in_ings;glass_type_field_missing,1,0,4,6,0,1
cck_0efd613e45c9d729e4b208,Sake,FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_0efeb6da636b9488841e54,Blow my skull,FIX,abv_missing;no_image_modern,0,0,4,6,0,1
cck_0efeec5d3208deda5fa31a,Paloma,KEEP,,0,0,4,4,1,1
cck_0f09835ce1faa1645810b8,Cameron's Kick Cocktail,DELETE,no_instructions,0,1,0,0,0,0
cck_0f18fc872e145f2b934618,Bob Marley,KEEP,,1,0,1,3,1,1
